№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
2363,BeyondScienceWars Redux: Feminist Philosophy ofScienceas TrustworthyScienceCriticism,Ben Almassi,Hypatia,"Volume 34, Issue 4",First published:12 September 2019,https://onlinelibrary.wiley.com/doi/10.1111/hypa.12500
2364,Discarding the ‘basicscience/appliedscience’ dichotomy: A knowledge utilization triangle classification system of research journals,Robert J.W. Tijssen,Journal of the American Society for InformationScienceand Technology,"Volume 61, Issue 9",First published:25 August 2010,https://onlinelibrary.wiley.com/doi/10.1002/asi.21366
2365,Citizenscienceversus professional data collection: Comparison of approaches to mosquito monitoring in Germany,"Nadja Pernat, Helge Kampen, Jonathan M. Jeschke, Doreen Werner",Journal of Applied Ecology,"Volume 58, Issue 2",First published:21 September 2020,https://onlinelibrary.wiley.com/doi/10.1111/1365-2664.13767
2366,Realising the schoolsciencecurriculum,Ralph Levinson,The Curriculum Journal,"Volume 29, Issue 4",First published:02 October 2018,https://onlinelibrary.wiley.com/doi/10.1080/09585176.2018.1504314
2367,Priorities for synthesis research in ecology and environmentalscience,"Benjamin S. Halpern, Carl Boettiger, Michael C. Dietze, Jessica A. Gephart, Patrick Gonzalez, Nancy B. Grimm, Peter M. Groffman, Jessica Gurevitch, Sarah E. Hobbie, Kimberly J. Komatsu, Kristy J. Kroeker, Heather J. Lahr, David M. Lodge, Christopher J. Lortie, Julie S. S. Lowndes, Fiorenza Micheli, Hugh P. Possingham, Mary H. Ruckelshaus, Courtney Scarborough, Chelsea L. Wood, Grace C. Wu, Lina Aoyama, Eva E. Arroyo, Christie A. Bahlai, Erin E. Beller, Rachael E. Blake, Karrigan S. Bork, Trevor A. Branch, Norah E. M. Brown, Julien Brun, Emilio M. Bruna, Lauren B. Buckley, Jessica L. Burnett, Max C. N. Castorani, Samantha H. Cheng, Sarah C. Cohen, Jessica L. Couture, Larry B. Crowder, Laura E. Dee, Arildo S. Dias, Ignacio J. Diaz-Maroto, Martha R. Downs, Joan C. Dudney, Erle C. Ellis, Kyle A. Emery, Jacob G. Eurich, Bridget E. Ferriss, Alexa Fredston, Hikaru Furukawa, Sara A. Gagné, Sarah R. Garlick, Colin J. Garroway, Kaitlyn M. Gaynor, Angélica L. González, Eliza M. Grames, Tamar Guy-Haim, Ed Hackett, Lauren M. Hallett, Tamara K. Harms, Danielle E. Haulsee, Kyle J. Haynes, Elliott L. Hazen, Rebecca M. Jarvis, Kristal Jones, Gaurav S. Kandlikar, Dustin W. Kincaid, Matthew L. Knope, Anil Koirala, Jurek Kolasa, John S. Kominoski, Julia Koricheva, Lesley T. Lancaster, Jake A. Lawlor, Heili E. Lowman, Frank E. Muller-Karger, Kari E. A. Norman, Nan Nourn, Casey C. O'Hara, Suzanne X. Ou, Jacqueline L. Padilla-Gamino, Paula Pappalardo, Ryan A. Peek, Dominique Pelletier, Stephen Plont, Lauren C. Ponisio, Cristina Portales-Reyes, Diogo B. Provete, Eric J. Raes, Carlos Ramirez-Reyes, Irene Ramos, Sydne Record, Anthony J. Richardson, Roberto Salguero-Gómez, Erin V. Satterthwaite, Chloé Schmidt, Aaron J. Schwartz, Craig R. See, Brendan D. Shea, Rachel S. Smith, Eric R. Sokol, Christopher T. Solomon, Trisha Spanbauer, Paris V. Stefanoudis, Beckett W. Sterner, Vitor Sudbrack, Jonathan D. Tonkin, Ashley R. Townes, Mireia Valle, Jonathan A. Walter, Kathryn I. Wheeler, William R. Wieder, David R. Williams, Marten Winter, Barbora Winterova, Lucy C. Woodall, Adam S. Wymore, Casey Youngflesh",Ecosphere,"Volume 14, Issue 1",First published:11 January 2023,https://onlinelibrary.wiley.com/doi/10.1002/ecs2.4342
2368,Could opensciencestimulate industry partnerships in chemical engineering university research?,"Kirsten Hart, Sung An, Aled M. Edwards, Radhakrishnan Mahadevan, Emma R. Master, Elizabeth A. Edwards",The Canadian Journal of Chemical Engineering,"Volume 99, Issue 10",First published:14 February 2021,https://onlinelibrary.wiley.com/doi/10.1002/cjce.24077
2369,TheScienceof Medicine,Dominik Wujastyk,N/A,N/A,First published:01 January 2003,https://onlinelibrary.wiley.com/doi/10.1002/9780470998694.ch20
2370,Grow your own food security? Integratingscienceand citizenscienceto estimate the contribution of own growing to UK food production,"Jill L. Edmondson, Roscoe S. Blevins, Hamish Cunningham, Miriam C. Dobson, Jonathan R. Leake, Darren R. Grafius","Plants, People, Planet","Volume 1, Issue 2",First published:23 January 2019,https://onlinelibrary.wiley.com/doi/10.1002/ppp3.20
2371,Characterizing elementary teachers’ enactment of high-leverage practices through engineering design-basedscienceinstruction,"Brenda M. Capobianco, Jacqueline DeLisi, Jeffrey Radloff",ScienceEducation,"Volume 102, Issue 2",First published:19 December 2017,https://onlinelibrary.wiley.com/doi/10.1002/sce.21325
2372,The Role of Technology in TranslationalScience,"Larissa May, Catherine Zatorski, Darshan Vora",World Medical & Health Policy,"Volume 5, Issue 4",First published:23 December 2013,https://onlinelibrary.wiley.com/doi/10.1002/wmh3.69
2373,Interpreting Student Views of Learning Experiences in a ContextualizedScienceDiscourse in Kenya,"Samson Madera Nashon, David Anderson",Journal of Research inScienceTeaching,"Volume 50, Issue 4",First published:26 February 2013,https://onlinelibrary.wiley.com/doi/10.1002/tea.21078
2374,Philosophy for the Rest of CognitiveScience,"Nigel Stepp, Anthony Chemero, Michael T. Turvey",Topics in CognitiveScience,"Volume 3, Issue 2",First published:06 April 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1756-8765.2011.01143.x
2375,"Psychiatry, religion and cognitivescience",David Bathgate,Australian and New Zealand Journal of Psychiatry,"Volume 37, Issue 3",First published:23 May 2003,https://onlinelibrary.wiley.com/doi/10.1046/j.1440-1614.2003.01178.x
2376,Advancing preservice teacher’ssciencepedagogy beyond the classroom,Kelly K. Feille,SchoolScienceand Mathematics,"Volume 121, Issue 4",First published:21 March 2021,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12463
2377,SocialScience/NaturalSciencePerspectives on Wildfire and Climate Change,"Andrew Ayres, Alexander Degolia, Matthew Fienup, Yunyeol Kim, Jade Sainz, Laura Urbisci, Daniel Viana, Graham Wesolowski, Andrew J. Plantinga, Christina Tague",Geography Compass,"Volume 10, Issue 2",First published:09 February 2016,https://onlinelibrary.wiley.com/doi/10.1111/gec3.12259
2378,Interdisciplinary Approaches to Environmental Research: Examples from the NationalScienceFoundation,"Margaret A. Cavanaugh, Maryellen Cameron",N/A,N/A,First published:01 January 1998,https://onlinelibrary.wiley.com/doi/10.2136/sssaspecpub55.c12
2379,"The Gender/ScienceSystem: or, Is Sex To Gender As Nature Is ToScience?",Evelyn Fox Keller,Hypatia,"Volume 2, Issue 3",First published:01 September 1987,https://onlinelibrary.wiley.com/doi/10.1111/j.1527-2001.1987.tb01340.x
2380,Tomato tomahto: European perspectives on informationscience,"Julian Warner, Fidelia Ibekwe-SanJuan, Isabella Peters, Niels Windfeld Lund, Michael Buckland",Proceedings of the Association for InformationScienceand Technology,"Volume 53, Issue 1",First published:27 December 2016,https://onlinelibrary.wiley.com/doi/10.1002/pra2.2016.14505301016
2381,The challenges of alignment for the Next GenerationScienceStandards,"Gavin W. Fulmer, Jamie Tanas, Kathleen A. Weiss",Journal of Research inScienceTeaching,"Volume 55, Issue 7",First published:29 August 2018,https://onlinelibrary.wiley.com/doi/10.1002/tea.21481
2382,"“We're taking their brilliant minds”:Scienceteacher expertize, meta-discourse, and the challenges of teacher–scientistcollaboration","Marie-Claire Shanahan, Robert Bechtel",ScienceEducation,"Volume 104, Issue 2",First published:07 December 2019,https://onlinelibrary.wiley.com/doi/10.1002/sce.21550
2383,The future of forensic psychiatry and behavioralscience,Richard Rosner,N/A,N/A,First published:27 February 2019,https://onlinelibrary.wiley.com/doi/10.1002/9781119226703.ch9
2384,"PoliticalScience, Impact and Evidence",Peter John,Political Studies Review,"Volume 11, Issue 2",First published:16 April 2013,https://onlinelibrary.wiley.com/doi/10.1111/1478-9302.12009
2385,Computing in CognitiveScienceUsing Ensemble Learning,Om Prakash Singh,N/A,N/A,First published:23 August 2024,https://onlinelibrary.wiley.com/doi/10.1002/9781119847717.ch19
2386,SCIENCEEDUCATION AND MORAL EDUCATION,Holmes Rolston,Zygon®,"Volume 23, Issue 3",First published:September 1988,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1988.tb00639.x
2387,DataScience101,,N/A,N/A,First published:21 December 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781119238881.ch6
2388,Philosophy ofScience: What One Needs to Know,Philip Clayton,Zygon®,"Volume 32, Issue 1",First published:09 October 2012,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.731997073
2389,Finding Alignment: The Perceptions and Integration of the Next GenerationScienceStandards Practices by Elementary Teachers,"Janette Smith, Louis Nadelson",SchoolScienceand Mathematics,"Volume 117, Issue 5",First published:25 May 2017,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12222
2390,"Green fields, ugly ducklings and black swans: Aesthetic dimensions of ecologicalscience","Samantha J. Capon, Robyn Bartel, Sandy Boucher, Felicity Joseph, Anthony Lynch",People and Nature,Early View,First published:26 April 2025,https://onlinelibrary.wiley.com/doi/10.1002/pan3.70037
2391,Measuring epistemologies insciencelearning and teaching: A systematic review of the literature,"Silvia Wen-Yu Lee, Hui Luan, Min-Hsien Lee, Hsin-Yi Chang, Jyh-Chong Liang, Yuan-Hsuan Lee, Tzung-Jin Lin, An-Hsuan Wu, Ying-Ju Chiu, Chin-Chung Tsai",ScienceEducation,"Volume 105, Issue 5",First published:28 May 2021,https://onlinelibrary.wiley.com/doi/10.1002/sce.21663
2392,CognitiveScienceand Natural Theological Arguments,Jason Marsh,N/A,N/A,First published:16 November 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781119009924.eopr0076
2393,WaterScience,,N/A,N/A,First published:28 August 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119651123.ch2
2394,Challenges in the establishment of a rare plant species monitoring program using communitysciencevolunteers,"David J. Gibson, Christopher D. Benda, Ingrid Felsl, Gretel Kiefer",Ecological Solutions and Evidence,"Volume 5, Issue 4",First published:30 November 2024,https://onlinelibrary.wiley.com/doi/10.1002/2688-8319.12400
2395,"The influences of contextualized media on students'scienceattitudes, knowledge, and argumentation learning through online game-based activities",Yu-Ren Lin,Journal of Computer Assisted Learning,"Volume 34, Issue 6",First published:21 August 2018,https://onlinelibrary.wiley.com/doi/10.1111/jcal.12297
2396,Defining “science” in a multicultural world: Implications forscienceeducation,"William W. Cobern, Cathleen C. Loving",ScienceEducation,"Volume 85, Issue 1",First published:05 December 2000,https://onlinelibrary.wiley.com/doi/10.1002/1098-237X%28200101%2985%3A1%3C50%3A%3AAID-SCE5%3E3.0.CO%3B2-G
2397,Scienceand Technology: Pharaonic,"Corinna Rossi Architecture, Egyptology",N/A,N/A,First published:23 April 2010,https://onlinelibrary.wiley.com/doi/10.1002/9781444320053.ch21
2398,The UK forensicscienceregulator: Fit for purpose?,"Emmanuel Nsiah Amoako, Carole McCartney",Wiley Interdisciplinary Reviews: ForensicScience,"Volume 3, Issue 6",First published:25 February 2021,https://onlinelibrary.wiley.com/doi/10.1002/wfs2.1415
2399,Tomato Tomahto: European Perspectives on InformationScience,"Julian Warner, Fidelia Ibekwe-SanJuan, Isabella Peters, Niels Windfeld Lund, Michael Buckland",Bulletin of the Association for InformationScienceand Technology,"Volume 43, Issue 3",First published:06 March 2017,https://onlinelibrary.wiley.com/doi/10.1002/bul2.2017.1720430315
2400,Language choice forscienceeducation: policy and practice,"Jordan Mifsud, Josette Farrugia",The Curriculum Journal,"Volume 28, Issue 1",First published:02 January 2017,https://onlinelibrary.wiley.com/doi/10.1080/09585176.2016.1251847
2401,The challenges of alignment for the Next GenerationScienceStandards,"Gavin W. Fulmer, Jamie Tanas, Kathleen A. Weiss",Journal of Research inScienceTeaching,"Volume 55, Issue 7",First published:29 August 2018,https://onlinelibrary.wiley.com/doi/10.1002/tea.21481
2402,"“We're taking their brilliant minds”:Scienceteacher expertize, meta-discourse, and the challenges of teacher–scientistcollaboration","Marie-Claire Shanahan, Robert Bechtel",ScienceEducation,"Volume 104, Issue 2",First published:07 December 2019,https://onlinelibrary.wiley.com/doi/10.1002/sce.21550
2403,The future of forensic psychiatry and behavioralscience,Richard Rosner,N/A,N/A,First published:27 February 2019,https://onlinelibrary.wiley.com/doi/10.1002/9781119226703.ch9
2404,"PoliticalScience, Impact and Evidence",Peter John,Political Studies Review,"Volume 11, Issue 2",First published:16 April 2013,https://onlinelibrary.wiley.com/doi/10.1111/1478-9302.12009
2405,Computing in CognitiveScienceUsing Ensemble Learning,Om Prakash Singh,N/A,N/A,First published:23 August 2024,https://onlinelibrary.wiley.com/doi/10.1002/9781119847717.ch19
2406,SCIENCEEDUCATION AND MORAL EDUCATION,Holmes Rolston,Zygon®,"Volume 23, Issue 3",First published:September 1988,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1988.tb00639.x
2407,DataScience101,,N/A,N/A,First published:21 December 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781119238881.ch6
2408,Philosophy ofScience: What One Needs to Know,Philip Clayton,Zygon®,"Volume 32, Issue 1",First published:09 October 2012,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.731997073
2409,Finding Alignment: The Perceptions and Integration of the Next GenerationScienceStandards Practices by Elementary Teachers,"Janette Smith, Louis Nadelson",SchoolScienceand Mathematics,"Volume 117, Issue 5",First published:25 May 2017,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12222
2410,"Green fields, ugly ducklings and black swans: Aesthetic dimensions of ecologicalscience","Samantha J. Capon, Robyn Bartel, Sandy Boucher, Felicity Joseph, Anthony Lynch",People and Nature,Early View,First published:26 April 2025,https://onlinelibrary.wiley.com/doi/10.1002/pan3.70037
2411,Measuring epistemologies insciencelearning and teaching: A systematic review of the literature,"Silvia Wen-Yu Lee, Hui Luan, Min-Hsien Lee, Hsin-Yi Chang, Jyh-Chong Liang, Yuan-Hsuan Lee, Tzung-Jin Lin, An-Hsuan Wu, Ying-Ju Chiu, Chin-Chung Tsai",ScienceEducation,"Volume 105, Issue 5",First published:28 May 2021,https://onlinelibrary.wiley.com/doi/10.1002/sce.21663
2412,CognitiveScienceand Natural Theological Arguments,Jason Marsh,N/A,N/A,First published:16 November 2021,https://onlinelibrary.wiley.com/doi/10.1002/9781119009924.eopr0076
2413,WaterScience,,N/A,N/A,First published:28 August 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119651123.ch2
2414,Challenges in the establishment of a rare plant species monitoring program using communitysciencevolunteers,"David J. Gibson, Christopher D. Benda, Ingrid Felsl, Gretel Kiefer",Ecological Solutions and Evidence,"Volume 5, Issue 4",First published:30 November 2024,https://onlinelibrary.wiley.com/doi/10.1002/2688-8319.12400
2415,"The influences of contextualized media on students'scienceattitudes, knowledge, and argumentation learning through online game-based activities",Yu-Ren Lin,Journal of Computer Assisted Learning,"Volume 34, Issue 6",First published:21 August 2018,https://onlinelibrary.wiley.com/doi/10.1111/jcal.12297
2416,Defining “science” in a multicultural world: Implications forscienceeducation,"William W. Cobern, Cathleen C. Loving",ScienceEducation,"Volume 85, Issue 1",First published:05 December 2000,https://onlinelibrary.wiley.com/doi/10.1002/1098-237X%28200101%2985%3A1%3C50%3A%3AAID-SCE5%3E3.0.CO%3B2-G
2417,Scienceand Technology: Pharaonic,"Corinna Rossi Architecture, Egyptology",N/A,N/A,First published:23 April 2010,https://onlinelibrary.wiley.com/doi/10.1002/9781444320053.ch21
2418,The UK forensicscienceregulator: Fit for purpose?,"Emmanuel Nsiah Amoako, Carole McCartney",Wiley Interdisciplinary Reviews: ForensicScience,"Volume 3, Issue 6",First published:25 February 2021,https://onlinelibrary.wiley.com/doi/10.1002/wfs2.1415
